|kod_gen_func|kod_standard|kod_gen_func|name_gen_func|gen_func_skill_level|posts|education_and_training_requirements|requirements_for_practical_experience|name_sim_func|kod_sim_func|sim_func_skill_level|activities|skills|knowledge
147|3|06.007|B|Проектирование систем подвижной радиосвязи|6|"Инженер-проектировщик систем подвижной радиосвязи 
Инженер по проектированию сетей подвижной радиосвязи 
Инженер-проектировщик (сети, узлы связи подвижной радиосвязи)
Инженер-проектировщик в области связи и телекоммуникаций"|Высшее образование - программы бакалавриата|-|Проектирование систем станций подвижной радиосвязи|B/01.6|6|"Анализ сведений о возникающих проблемах работы сети для учета при подготовке планов развития сети
Разработка заданий на поиск и выбор площадок под строительство базовых станций связи
Определение основных технических требований для строительства, модернизации и оптимизации базовых станций
Разработка и согласование программы строительства базовых станций связи
Определение конфигурации базовых станций связи на выбранном объекте и подготовка необходимой документации (антенного плана)
Обобщение исходных данных, организация процесса частотного планирования для запуска новых базовых станций связи при модернизации (расширении) функционирующих базовых станций и корректировки частотного плана
Разработка предложений по повышению эффективности сетей связи
"|"Анализировать показатели текущего состояния сети
Оценивать потребности в изменении емкости и конфигурации антенно-фидерных устройств базовых станций связи
Использовать специализированное программное обеспечение для анализа данных, проектирования базовых станций связи
Осуществлять ведение технической и проектной документации;
Организовывать взаимодействие подразделений, участвующих в реализации проектных решений
"|"Нормативно-правовые и нормативные документы, регламентирующие проектную подготовку строительства, строительство и эксплуатацию объектов и линий связи
Структура и основы подготовки технической и проектной документации
Принципы построения систем связи, технологии, используемые в сетях связи
Процедуры и принципы частотно-территориального и кодового планирования
Основные правила выделения полос радиочастот и назначения радиочастот для радиоэлектронных средств сухопутной подвижной и фиксированной радиослужб на территории Российской Федерации
Методы анализа качественных показателей работы сетей связи на основе данных статистики и радиоизмерений
Принципы работы и архитектура различных геоинформационных систем
Перспективы технического развития отрасли
"
148|4|06.007|B|Проектирование систем подвижной радиосвязи|6|"Инженер-проектировщик систем подвижной радиосвязи 
Инженер по проектированию сетей подвижной радиосвязи 
Инженер-проектировщик (сети, узлы связи подвижной радиосвязи)
Инженер-проектировщик в области связи и телекоммуникаций"|Высшее образование - программы бакалавриата|-|Проектирование транспортной сети подвижной радиосвязи|B/02.6|6|"Анализ сведений о возникающих проблемах работы сети для учета при подготовке планов развития транспортной сети
Разработка перспективных планов развития транспортной сети
Проектирование транспортной сети, оборудования соединительных линий
Определение оптимальной конфигурации и топологии транспортной сети
Выработка синергетических решений объединения транспортных сетей организаций связи
Проведение экспертизы сетевых решений и оптимизации зон и участков транспортной сети
Подготовка и согласование схем организации связи транспортной сети
Внедрение новых технологических решений, обеспечивающих эффективное использование ресурсов транспортной сети
"|"Анализировать показатели текущего состояния транспортной сети
Оценивать перспективные потребности в развитии и модернизации транспортной сети
Использовать специализированное программное обеспечение для проектирования транспортной сети
Осуществлять ведение технической и проектной документации
Организовывать взаимодействие подразделений, участвующих в реализации проектных решений
"|"Нормативно-правовые и нормативные документы, регламентирующие проектную подготовку строительства, строительство и эксплуатацию объектов и линий связи
Технологии, используемые на транспортной сети, принципы планирования емкости сетей радиодоступа
Структура и основы подготовки технической и проектной документации
Процедуры и принципы частотно-территориального и кодового планирования
Методы анализа качественных показателей работы транспортных сетей на основе данных статистики и радиоизмерений
Принципы работы и архитектура различных геоинформационных систем
Перспективы технического развития отрасли
"
149|0|06.008|A|Предметная реализация требований к художественно-техническому оформлению сетевого издания/сайта информационного агентства|7|Ответственный секретарь, выпускающий, арт-директор|Высшее образование - специалитет, магистратура|Не менее одного года в сфере сетевых СМИ|Разработка макета ресурса|A/01.7|7|"Разработка модели сайта исходя из целевого назначения и читательского адреса
Разработка общей концепции художественного оформления сайта
Разработка и утверждение композиции каждой публикации на основе имеющейся модели
Формулирование задания по предоставлению материалов для штатных фотокорреспондентов или художников
Отбор иллюстративного материала для публикаций
Принятие решений об обновлении отдельных элементов дизайна сетевого издания
Соблюдение правил охраны труда, производственной санитарии, пожарной безопасности
"|"Изучать и применять на практике положительный опыт в дизайне отечественных и зарубежных сетевых ресурсов
Применять базовые приемы композиции материалов на интернет-странице
"|"Принципы художественно-технического оформления интернет-ресурсов
Языки гипертекстовой разметки
Компьютерные программы для работы с растровой и векторной графикой
Профессиональные компьютерные программы верстки
Технология редакционно-издательского процесса
Законодательство Российской Федерации и иные нормативные правовые акты, методические и нормативные документы, регламентирующие деятельность средств массовой информации
Стандарты, технические условия, инструкции, санитарные нормы и другие нормативные документы в области электронных сетевых изданий
Государственные стандарты на термины, обозначения и единицы измерения
Правила охраны труда, производственной санитарии и пожарной безопасности
"
150|1|06.008|A|Предметная реализация требований к художественно-техническому оформлению сетевого издания/сайта информационного агентства|7|Ответственный секретарь, выпускающий, арт-директор|Высшее образование - специалитет, магистратура|Не менее одного года в сфере сетевых СМИ|Отбор иллюстративных материалов|A/02.7|7|"Поиск иллюстративного материала для публикаций из внешних источников
Оформление подписки на материалы информационных агентств
Принятие решений о целесообразности приобретения авторских художественно-графических оригиналов
Подготовка проектов и организация своевременного заключения договоров с лицами, привлекаемыми для изготовления графического материала и фотографами вне штата
"|"Составлять договоры, оформлять заказы на графические работы
Пользоваться профессиональной и юридической терминологией
Вести переговоры
"|"Методы получения необходимых материалов
Правила составления и оформления договоров
Законодательство Российской Федерации об авторском праве
"
151|2|06.008|B|Организация и контроль выпуска продукции сетевого издания/информационного агентства|7|Ответственный секретарь, выпускающий|Высшее образование - специалитет, магистратура|Не менее трех лет в должности редактора|Руководство производственным отделом|B/01.7|7|"Составление плана-графика выполнения корректуры, веб-редактирования, публикации материалов на сайте
Формулирование заданий для дизайнеров, веб-редактора, корректоров, администратора сайта с указанием сроков их выполнения
Подготовка предложений главному редактору (руководителю организации) по реализации кадровой политики в отделе
Применение санкций в отношении сотрудников, нарушающих устав организации и другие внутренние нормативные акты
Контроль соблюдения сроков выполнения корректуры, веб-редактирования, дизайнерских работ, публикации материалов
Принятие оперативных решений при возникновении угрозы нарушения плана публикации материалов
Контроль качества выполнения заданий по дизайну и веб-редактированию, публикации материалов
Контроль подготовки документов для расчетов за выполненные работы, установления размеров оплаты труда внештатных сотрудников
Организация соблюдения правил охраны труда, производственной санитарии, пожарной безопасности в рамках подразделения
"|"Составлять планы и графики работ
Оценивать временные затраты на все производственные процессы
Мотивировать сотрудников к быстрой и систематической работе
Оценивать качество выполненной работы
Оперативно связываться с сотрудниками по производственному процессу
Оперативно принимать решения в случае непредвиденных обстоятельств, грозящих срывом сроков выполнения тех или иных работ
"|"Структура и задачи редакции
Технология редакционно-издательского процесса
Постановления, приказы, распоряжения, руководящие и нормативные материалы вышестоящих органов, касающиеся редакционно-издательской деятельности
Порядок разработки планов издания СМИ, графиков редакционных и производственных процессов издательской деятельности
Стандарты, технические условия, инструкции и другие нормативные документы в области электронных изданий
Законодательство Российской Федерации и иные нормативные правовые акты, методические и нормативные документы, регламентирующие деятельность средств массовой информации
Устав организации и другие внутренние нормативные акты
Основы организации труда и управления
Трудовое законодательство Российской Федерации
Правила охраны труда, производственной санитарии и пожарной безопасности
"
152|3|06.008|B|Организация и контроль выпуска продукции сетевого издания/информационного агентства|7|Ответственный секретарь, выпускающий|Высшее образование - специалитет, магистратура|Не менее трех лет в должности редактора|Распределение материалов между отделами|B/02.7|7|"Передача авторских оригиналов редакторам отделов
Передача отредактированных текстов в корректуру
Передача откорректированных текстов и других материалов веб-редактору
Передача материалов для публикации администратору сайта
"|"Использовать при работе современные технические средства коммуникации
Оценивать временные затраты на все производственные процессы
Принимать оперативные решения о временном перераспределении обязанностей отсутствующих сотрудников
Оперативно связываться с сотрудниками по производственному процессу
Доходчиво объяснять сотрудникам задания главного редактора
Пользоваться профессиональной терминологией
"|"Структура и задачи редакции
Текущие планы и графики выполнения работ
Технология редакционно-издательского процесса
Технология производства электронных сетевых изданий
Основы организации труда и управления
Стандарты, технические условия, инструкции и другие нормативные документы в области электронных изданий
Государственные стандарты на термины, обозначения и единицы измерения
"
153|4|06.008|B|Организация и контроль выпуска продукции сетевого издания/информационного агентства|7|Ответственный секретарь, выпускающий|Высшее образование - специалитет, магистратура|Не менее трех лет в должности редактора|Прием выполненной работы|B/03.7|7|"Прием авторских оригиналов
Прием отредактированных материалов из отделов
Прием корректуры
Прием работы веб-редактора
Прием опубликованных материалов и уведомление главного редактора о необходимости их проверки
"|"Использовать при работе современные технические средства коммуникации, в том числе социальные сети и другие интернет-ресурсы
Поддерживать оперативную связь с сотрудниками
Оценивать качество выполненной работы
Пользоваться профессиональной терминологией
"|"Структура и задачи редакции
Текущие планы и графики выполнения работ
Технология редакционно-издательского процесса
Технология производства электронных сетевых изданий
Стандарты, технические условия, инструкции и другие нормативные документы в области электронных сетевых изданий
Законодательство Российской Федерации и иные нормативные правовые акты, методические и нормативные документы, регламентирующие деятельность средств массовой информации
Основы организации труда и управления
Государственные стандарты на термины, обозначения и единицы измерения
"
154|0|06.010|A|Сбор, распределение и контроль выполнения заявок на техподдержку|6|Инженер технической поддержки|Высшее образование - бакалавриат|-|Регистрация и обработка обращений абонентов|A/01.6|6|"Рассмотрение обращений абонентов, их анализ с целью выявления аварийных объектов
Взаимодействие с техническими службами организации
Формирование журнала событий
Выявление новых сложных проблем
Занесение решений в единую базу решений
"|"Работать с различными операционными системами
Взаимодействовать с техническими подразделениями организации
"|"Теоретические основы сетевых технологий
Принципы работы сетевого оборудования
Операционные системы
Порядок обработки обращений в службу техподдержки
Система взаимодействия со смежными подразделениями организации
Программное обеспечение для регистрации и обработки заявок
Основные технологические и конструктивные особенности, характеристики и потребительские свойства услуг, предоставляемых организацией
Этика делового общения
"
155|1|06.010|A|Сбор, распределение и контроль выполнения заявок на техподдержку|6|Инженер технической поддержки|Высшее образование - бакалавриат|-|Контроль выполнения заявок на техническую поддержку оборудования|A/02.6|6|"Контроль сроков выполнения заявки в соответствии с регламентом обслуживания
Контроль изменения статуса обращения
"|"Работать с различными операционными системами
Работать с компьютером на уровне опытного пользователя
"|"Основы электротехники
Основы сетевых технологий
Принципы работы сетевого оборудования
Документы, регламентирующие взаимодействие сотрудников технической поддержки с подразделениями организации
Порядок обработки обращений в службу техподдержки
Этика делового общения
"
156|2|06.010|A|Сбор, распределение и контроль выполнения заявок на техподдержку|6|Инженер технической поддержки|Высшее образование - бакалавриат|-|Работа с информационными системами и базами данных|A/03.6|6|"Анализ отчета об аварийных объектах
Систематизация обращений абонентов с целью выявления аварийных объектов и корректировки работы подразделений, отвечающих за техническое состояние объектов связи
Осуществление информационной поддержки контакт-центра
Формирование электронного архива выполненных заявок
Формирование единой базы решений
"|"Работать с различными информационными системами и базами данных
Обрабатывать информацию с использованием современных технических средств
"|"Основы электротехники
Основы сетевых технологий
Принципы работы сетевого оборудования
Правила работы с различными информационными системами и базами данных
"
157|3|06.010|B|Мониторинг состояния сети и координация устранения неисправностей|6|Инженер технической поддержки|Высшее образование - бакалавриат|Опыт практической работы не менее одного года|Техническая поддержка контакт-центров, решений IP-телефонии унифицированных телекоммуникаций различных производителей|B/01.6|6|"Получение у технических служб актуальных данных о состоянии сети
Осуществление информационной поддержки контакт-центра
Разработка скрипта разговора для исходящих звонков абонентов с целью уточнения необходимости новой услуги
Обработка оперативной информации о запланированных работах, связанных с прерыванием предоставления услуг связи
Организация оповещения об изменении эксплуатационных характеристик сети (вследствие возникновения инцидентов или проведения профилактических работ)
Организация работы по минимизации времени решения инцидентов
"|"Работать с программным обеспечением, используемым при обработке информации, поступающей в отдел технической поддержки
Работать с различными операционными системами
"|"Основы электротехники
Основы сетевых технологий
Принципы работы сетевого оборудования
Документы, регламентирующие взаимодействие сотрудников технической поддержки с подразделениями компании
Операционные системы
Этика делового общения
"
158|4|06.010|B|Мониторинг состояния сети и координация устранения неисправностей|6|Инженер технической поддержки|Высшее образование - бакалавриат|Опыт практической работы не менее одного года|Проверка качества предоставляемых услуг|B/02.6|6|"Взаимодействие с техническими службами организации с целью уточнения функциональных показателей работы сети
Анализ оперативной информации о запланированных и аварийных работах, связанных с прерыванием предоставления услуг
"|"Сверять качество предоставляемых услуг с нормативными показателями
Контролировать качество предоставляемых услуг
"|"Основы электротехники
Основы сетевых технологий
Принципы работы сетевого оборудования
Качественные показатели работы оборудования
Нормы времени для каждого вида работ
Этика делового общения
"
159|5|06.010|B|Мониторинг состояния сети и координация устранения неисправностей|6|Инженер технической поддержки|Высшее образование - бакалавриат|Опыт практической работы не менее одного года|Сбор, анализ и обработка статистической информации по работе с телекоммуникационным оборудованием|B/03.6|6|"Сбор данных по функциональным показателям работы оборудования для составления плана профилактических работ
Сбор данных по отказам оборудования для составления плана капитального ремонта оборудования
"|"Использовать программные и технические средства сбора и обработки данных
Применять нормативно-техническую документацию в области обработки информации по работе с телекоммуникационным оборудованием
"|"Основы электротехники
Основы сетевых технологий
Принципы работы сетевого оборудования
Показатели использования и функционирования телекоммуникационного оборудования
"
160|6|06.010|C|Установка, настройка и обслуживание программного обеспечения телекоммуникационного оборудования|7|Ведущий инженер технической поддержки|Высшее образование - специалитет, магистратура|Стаж работы в должности инженера не менее пяти лет|Установка и настройка программного обеспечения телекоммуникационного оборудования|C/01.7|7|"Установка сетевого программного обеспечения
Настройка программного обеспечения телекоммуникационного оборудования
"|"Применять нормативно-техническую документацию, касающуюся установки и настройки программного обеспечения
Обеспечивать соблюдение правил установки и испытаний программных средств
Устанавливать и настраивать программное обеспечение
Проверять качество выполненных работ на соответствие требованиям проектной документации
"|"Основы электротехники
Теоретические основы сетевых технологий
Принципы работы сетевого оборудования
Правила установки и настройки программного обеспечения
"
161|7|06.010|C|Установка, настройка и обслуживание программного обеспечения телекоммуникационного оборудования|7|Ведущий инженер технической поддержки|Высшее образование - специалитет, магистратура|Стаж работы в должности инженера не менее пяти лет|Устранение неполадок в работе сетевых сервисов и телефонии|C/02.7|7|"Контроль работоспособности сетевых сервисов и телефонии
Выполнение работ по устранению неполадок в работе сетевых сервисов и телефонии
"|"Диагностировать неполадку и устранять ее
Владеть сетевыми анализаторами, системами мониторинга
"|"Теоретические знания основ сетевых технологий
Принципы работы сетевого оборудования
Организация, принципы построения и функционирования сетей связи
"
162|8|06.010|D|Выполнение работ по обеспечению функционирования телекоммуникационного оборудования корпоративных сетей|7|Ведущий инженер технической поддержки|Высшее образование - специалитет, магистратура|Стаж работы в должности инженера не менее пяти лет|Администрирование корпоративных сетей|D/01.7|7|"Администрирование системного и сетевого программного обеспечения, почтовой инфраструктуры
Работа по сервисным контактам
Взаимодействие с производителями и поставщиками телекоммуникационного оборудования
"|"Администрировать корпоративные сети
Поддерживать актуальность сетевой инфраструктуры
Применять новые технологии администрирования
Вести электронные базы данных
"|"Сетевые технологии
Принципы работы сетевого оборудования
Организация сетевого администрирования
Современные технологии администрирования корпоративных сетей
Стандарты администрирования телекоммуникационных инфраструктур
Стандарты и методы защищенной передачи данных в корпоративных сетях
Стандарты ведения технической документации
"
163|9|06.010|D|Выполнение работ по обеспечению функционирования телекоммуникационного оборудования корпоративных сетей|7|Ведущий инженер технической поддержки|Высшее образование - специалитет, магистратура|Стаж работы в должности инженера не менее пяти лет|Протоколирование работы телекоммуникационного оборудования|D/02.7|7|"Фиксирование отклонений от штатной работы телекоммуникационного оборудования
Ведение журнала учета отклонений от штатной работы телекоммуникационного оборудования
"|"Выявлять и фиксировать отклонения от штатной работы оборудования
Осуществлять оперативный анализ работы оборудования в режиме нормальной эксплуатации и в нештатных ситуациях
Пользоваться технической документацией
"|"Сетевые технологии
Средства мониторинга и анализа
Анализаторы протоколов и сетей
"
164|10|06.010|D|Выполнение работ по обеспечению функционирования телекоммуникационного оборудования корпоративных сетей|7|Ведущий инженер технической поддержки|Высшее образование - специалитет, магистратура|Стаж работы в должности инженера не менее пяти лет|Конфигурирование телекоммуникационного оборудования и телефонии для вновь создаваемых узлов сети|D/03.7|7|"Выполнение работ по конфигурированию телекоммуникационного оборудования
Выполнение работ по конфигурированию телефонии
"|"Выполнять работы по конфигурированию телекоммуникационного оборудования
Пользоваться технической документацией
"|"Основы электротехники
Сетевые технологии
Основы конфигурирования с помощью программного обеспечения
"
165|11|06.010|D|Выполнение работ по обеспечению функционирования телекоммуникационного оборудования корпоративных сетей|7|Ведущий инженер технической поддержки|Высшее образование - специалитет, магистратура|Стаж работы в должности инженера не менее пяти лет|Мониторинг корпоративных сетей|D/04.7|7|"Выбор основных статистических показателей работы сетей
Анализ полученных статистических данных
"|"Выполнять работы по отслеживанию состояния сети
Определять необходимые параметры мониторинга
Анализировать результаты мониторинга
"|"Сетевые технологии
Программно-технические средства диагностики и мониторинга
Методы оценки параметров работы сети
"
166|12|06.010|D|Выполнение работ по обеспечению функционирования телекоммуникационного оборудования корпоративных сетей|7|Ведущий инженер технической поддержки|Высшее образование - специалитет, магистратура|Стаж работы в должности инженера не менее пяти лет|Информационная поддержка региональных специалистов по коммуникационному оборудованию и сетевым технологиям|D/05.7|7|"Прием и обслуживание обращений по вопросам эксплуатации оборудования
Проведение консультаций по техническим вопросам
Обобщение результатов разрешенных проблем
Разработка исполнительной документации
"|"Организовывать обучение региональных специалистов новым системным средствам
Осуществлять презентации новых программно-технических средств
Проводить консультации по коммуникационному оборудованию и сетевым технологиям
"|"Технологии функционирования сети, сетевого программного обеспечения, сервисов и ресурсов
Инструментальные средства подготовки презентаций
Этика делового общения
"
167|0|06.011|A|Обеспечение функционирования БД|4|"Младший администратор БД
Младший специалист
Младший системный администратор"|"Среднее профессиональное образование - программы подготовки специалистов среднего звена
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"|Работа на должности ИТ-сотрудника в течение одного года|Резервное копирование БД|A/01.4|4|"Запуск процедуры резервного копирования
Мониторинг выполнения процедуры резервного копирования
Контроль завершения процедуры резервного копирования
"|"Выполнять регламентные процедуры по резервированию данных
Выбирать способ действия из известных; контролировать, оценивать и корректировать свои действия
"|"Общие основы решения практических задач по созданию резервных копий БД
Специальные знания по работе с установленной БД
"
